文件名称,cplex求解结果,文献最优解,文献最优解状态,cplexGap,cplex耗时,
weing1.dat,0,141278,Optimal,0.0,1,
weing2.dat,0,130883,Optimal,0.0,1,
weing3.dat,0,95677,Optimal,0.0,1,
weing4.dat,0,119337,Optimal,0.0,1,
weing5.dat,0,98796,Optimal,0.0,1,
weing6.dat,0,130623,Optimal,0.0,1,
weing7.dat,0,1095445,Optimal,0.0,1,
weing8.dat,0,624319,Optimal,0.0,1,
gk1.dat,0,3766,Optimal,0.0,1,
gk2.dat,0,3958,Optimal,0.0,1,
gk3.dat,0,5656,Optimal,0.0,2,
gk4.dat,0,0,UnKnow,0.0,1,
gk5.dat,0,0,UnKnow,0.0,1,
gk6.dat,0,0,UnKnow,0.0,1,
gk7.dat,0,0,UnKnow,0.0,1,
gk8.dat,0,0,UnKnow,0.0,1,
gk9.dat,0,0,UnKnow,0.0,1,
gk10.dat,0,0,UnKnow,0.0,1,
gk11.dat,0,0,UnKnow,0.0,1,
